1825,"V",12.66009247,55.62574106
1826,"Standplads D4",12.6530833,55.62620031
1827,"R",12.65231494,55.6232921
1830,"Roskilde Lufthavn",12.126234,55.585086
2000,"Lumsås",11.52068901,55.93814468
2001,"Kelstrup",11.57223797,55.82894516
2003,"Viskinge",11.27280235,55.66451645
2004,"Kalundborg",11.14005552,55.65957553
2005,"Møllekrogen",11.53519535,55.65484238
2006,"Kantenborg",11.27437878,55.49908066
2007,"Ringsted Å",11.76021004,55.45765686
2008,"Kindertofte",11.44325161,55.43063736
2009,"Vemmelev",11.23812389,55.36352158
2010,"Buske",11.76565552,55.36566544
2011,"Algestrup",12.09343815,55.38290405
2012,"Fuglebjerg",11.55985737,55.29137802
2013,"Boserup",11.93325806,55.26091003
2014,"Rønnede",11.98072243,55.22724152
2015,"Svingbroen",11.73234463,55.21395874
2016,"Bårse",11.933595,55.124852
2017,"Stensved",12.01094723,54.99679947
2018,"Farøbroen",12.00223446,54.96880341
2019,"Farøbroen - Høj",11.96715641,54.9385376
2020,"Hillested",11.45106888,54.74489594
2021,"Frederik IX's Bro",11.86392975,54.75820923
2022,"Stavreby",11.91108894,54.6568985
2024,"Tuelsø",11.6086235,55.4532814
2025,"Sakskøbing",11.65334225,54.79235458
2026,"Arnakke-N",11.75709152,55.66825485
2027,"Branderslev",11.115396,54.866569
2028,"Sorøvej",11.644456,55.572474
2030,"Vig",11.60178,55.846707
2031,"Kvanløse",11.677908,55.658804
2032,"Nykøbing Falster",11.92081,54.75769
2033,"Egeby",15.00615406,55.06607056
2034,"Næstved omfartsvej",11.727824,55.251887
2035,"Slagelse Omfartsvej",11.375092,55.377115
2100,"Vindekilde",11.41282259,55.77707206
2140,"Langerød",11.67915916,55.6965065
2141,"Hvalsø",11.83785651,55.57961955
2160,"Enemærket",11.41298939,55.53697136
2161,"Søskoven",11.57443251,55.44172355
2200,"Lundby",11.37763745,55.24775393
2201,"Øster Stilling",11.292744,55.429549
2202,"Korsør",11.176486,55.32431
2221,"Karrebækvej",11.70114899,55.2125473
2222,"Vester Egesborg",11.81759262,55.14663696
2223,"Kildebakken",11.959493,55.206723
2224,"Tystrupvej",11.586091,55.340705
2225,"Fensmarkvej",11.778231,55.260732
2240,"Haslev",11.9415,55.3279
2260,"Klippinge",12.313785,55.358929
2261,"Vråby",12.160025,55.346319
2280,"Damsholte",12.21700382,54.93938065
2281,"Magleby",12.4721,54.986239
2300,"Birket",11.33190441,54.90338898
2301,"Nakskov",11.15855598,54.81680679
2302,"Dannemare",11.208415,54.760491
2303,"Langøvej",11.036022,54.795207
2320,"Alslev Skov",11.87469292,54.92341614
2322,"Fuglsang",11.79308414,54.72007751
2340,"Dyreparken",14.76335454,55.25737181
2341,"Døndalen",14.8849287,55.22716141
2342,"Splidsskov",14.82648849,55.18041992
2343,"Svalhøj",14.73237588,55.17694948
2344,"Glasergård",14.98235035,55.16358185
2345,"Travbanen",14.92501163,55.12500763
2346,"Aarsdale",15.14203229,55.11253998
2347,"Zahrtmannsvej",14.69933901,55.09481378
2348,"Pedersker",14.9775593,55.02598954
2349,"Ringeby",14.78234414,55.11904579
3000,"Rands",9.72827625,55.62568283
3001,"Mølleåen",9.6046,55.58873
3002,"M60 Taulov",9.66245365,55.54048538
3003,"Sadderup",8.62885666,55.51454926
3004,"Estrup Skov",9.08347702,55.49751282
3005,"Harte",9.40812016,55.51388168
3006,"Hylke",9.42079353,55.49339676
3007,"Kærgård",8.70396042,55.42056656
3008,"Hjerndrup",9.44410038,55.33891296
3009,"Gelsbro",8.90838,55.2985
3010,"Gram",9.06078,55.28244
3011,"Vojens",9.30487347,55.2531662
3013,"Christiansdal Dalbro",9.38389683,55.23254395
3014,"Toftlund",9.05849334,55.17570932
3015,"Løgumkloster",8.940486,55.0987511
3016,"Sølsted Syd",8.85211,55.00925
3017,"Bovrup",9.61330795,54.98299026
3018,"Fynshav",9.96691513,54.98168564
3019,"Lille Tønde Skov",9.0129,54.93294
3021,"Frøslev",9.33967304,54.83707047
3022,"Lillebæltsbroen",9.74936485,55.5186615
3024,"Vissenbjerg",10.15973377,55.40024567
3025,"Odense S",10.3721714,55.353405
3026,"Hjulby",10.72912598,55.33262253
3027,"Sandager",9.94513321,55.30722999
3029,"Korinth",10.30199902,55.13340699
3030,"Bregninge",10.61325,55.03262
3031,"Kværndrup",10.51900959,55.19702911
3032,"Svendborgsundbroen",10.60319138,55.04708099
3033,"Alssundbroen",9.76633072,54.92220688
3034,"Hylkedalbroen",9.42279192,55.48082085
3035,"Langelandsbroen",10.70754048,54.94775958
3036,"Ringe",10.45346976,55.28185677
3037,"Brøns",8.72704,55.197533
3038,"Rønninge",10.587155,55.349593
3039,"Gislev",10.56793,55.207409
3040,"Hillerslev",10.32438,55.199131
3041,"Bøjden",10.155631,55.109522
3042,"Torp - Aabenraa S",9.37907,54.98368
3043,"Kauslunde",9.849003,55.486494
3100,"Forum",8.49250984,55.58222961
3101,"Sædding Ringvej",8.39045429,55.50421906
3102,"Solbjerg",8.57233429,55.4975853
3103,"Gl. Vardevej",8.43741035,55.49037933
3104,"Kalvslund",8.8690824,55.38781854
3120,"V. Thorsted",9.18022919,55.60497665
3121,"Læborg",9.11207962,55.53805923
3122,"Bjøvlund",8.86658859,55.51407242
3123,"Foldingbro",8.990958,55.437363
3124,"Lindknud",8.986063,55.57682419
3125,"Langetved",9.09743,55.39459
3140,"Alminde",9.49827622,55.57186768
3141,"Lunderskov",9.30823135,55.49817657
3142,"Ålry",9.58606,55.46577
3161,"Erritsø",9.7037468,55.54945374
